symbol,sector,subsector,indicator,signal,pattern,pattern_conf,confidence,win_rate,win_rate_stock,win_rate_sector,stock_n,sector_n,avg_return,price,tp1_price,tp2_price,sl_price,date,tier,volume_confirmed
APA,Energy,Oil & Gas Exploration & Production,BB,BB 跌破下軌 (超賣),None,0.00,0.45499999999999996,0.5833,0.5833,0.4013,12,157,0.0038,33.03,33.16,33.28,32.7,2026-06-18,2,True
ERIE,Financials,Insurance Brokers,BB,BB 中軌向上（上升趨勢）,None,0.00,0.51,0.5714,0.5714,0.3031,14,1135,0.0226,221.14,226.14,231.14,218.93,2026-06-18,2,True
GEN,Information Technology,Systems Software,VOLUME,放量突破（強勢確認）,None,0.00,0.595,0.56,0.56,0.4203,25,1701,0.0324,24.18,24.96,25.75,23.94,2026-06-18,2,True
EOG,Energy,Oil & Gas Exploration & Production,VOLUME,放量突破（強勢確認）,None,0.00,0.595,0.5,0.5,0.3934,10,305,0.0145,133.25,135.18,137.11,131.92,2026-06-17,2,True
CL,Consumer Staples,Household Products,RSI,RSI 維持強勢 (50-70),None,0.00,0.51,0.5,0.5,0.2774,12,393,0.0099,89.48,90.37,91.25,88.59,2026-06-18,2,True
SOLV,Health Care,Health Care Technology,VOLUME,放量突破（強勢確認）,None,0.00,0.595,0.4615,0.4615,0.3342,13,1152,0.002,75.43,75.58,75.73,74.68,2026-06-18,2,True
SNDK,Information Technology,"Technology Hardware, Storage & Peripherals",BB,價格在 BB 中軌上方,None,0.00,0.425,0.6578,0.6578,0.3474,187,29586,0.0925,2273.73,2484.05,2694.37,2250.99,2026-06-22,3,False
GOOG,Communication Services,Interactive Media & Services,RSI,RSI 上穿 50 中性線,None,0.00,0.4675,0.6,0.6,0.3337,25,827,0.0178,367.46,374.0,380.54,363.79,2026-06-18,3,False
Q,Information Technology,Semiconductor Materials & Equipment,RSI,RSI 維持強勢 (50-70),None,0.00,0.51,0.5789,0.5789,0.3536,95,25309,0.0322,175.64,181.3,186.95,173.88,2026-06-22,3,False
VRT,Industrials,Electrical Components & Equipment,RSI,RSI 維持強勢 (50-70),None,0.00,0.51,0.5645,0.5645,0.2961,411,28743,0.0255,357.96,367.09,376.22,354.38,2026-06-22,3,False
